(-0.230043173246-1.56742538244e-08j)	(4.27349036553+9.71445146547e-17j)	(0.221440628937+0j)	(-0.251162017089-1.43562912052e-08j)
(-2.80403845172+5.02716091628e-09j)	(0.79529391013+3.87277016012e-16j)	(0.00635347949814+1.11022302463e-16j)	(0.0805545171519-1.74991468176e-07j)
(-3.98473183257-2.23946777139e-09j)	(-4.47039135127-1.66533453694e-16j)	(-0.262440444509+0j)	(-0.035884917852-2.48674932916e-07j)
(-1.49263979537-3.30239756879e-09j)	(-3.15532170655+1.38777878078e-16j)	(-0.145667730869+0j)	(-0.0529171476536-9.31510867701e-08j)
(2.48785285979+7.34520543635e-11j)	(4.56409064836+0j)	(0.38372515061+0j)	(0.00117698032475+1.55259292102e-07j)
(4.67965065831+8.03221993037e-10j)	(1.45408462886+1.38777878078e-16j)	(-0.182998052653+1.11022302463e-16j)	(0.0128707153811+2.92042692539e-07j)
(2.02321505068-8.39713419685e-09j)	(1.26315201102+3.1918911958e-16j)	(0.173717525999-1.11022302463e-16j)	(-0.1345544838+1.26262666489e-07j)
(0.401273232704-1.8073864021e-08j)	(1.35746428058-9.71445146547e-17j)	(0.1332780941+0j)	(-0.289613033047+2.50422358319e-08j)
(-0.959649791307+2.00856989657e-08j)	(0.88406963224+1.66533453694e-16j)	(0.270861177477+0j)	(0.321850386623-5.98888097645e-08j)
(0.176766116728+2.63765238182e-09j)	(-0.384396123849+1.5959455979e-16j)	(-0.103543959223-5.55111512313e-17j)	(0.0422653661506+1.10314330555e-08j)
(3.96103977911+2.42318123204e-09j)	(-1.78699755295+2.77555756156e-17j)	(-0.35441200424-2.22044604925e-16j)	(0.0388287138619+2.47196384365e-07j)
(-5.40372186309+1.8990645066e-08j)	(2.82085961366-2.77555756156e-16j)	(0.306599072741+0j)	(0.304303395508-3.37229763171e-07j)
(1.37683090507+7.40992525043e-10j)	(2.35357059992-2.15105711021e-16j)	(0.0139892418118-2.22044604925e-16j)	(0.0118735561832+8.59238080305e-08j)
(-7.64250182803-2.68408961062e-09j)	(-1.71083378074+4.16333634234e-17j)	(0.094022606733+0j)	(-0.0430094700867-4.76945177184e-07j)
(-1.94489821675+7.37093612816e-10j)	(-1.06248275785-1.17961196366e-16j)	(-0.0569462866945-1.11022302463e-16j)	(0.0118110791375-1.2137515236e-07j)
(-2.10545637792-6.11687474946e-09j)	(-0.136064713534+6.93889390391e-17j)	(-0.164513873513+1.2490009027e-16j)	(-0.0980159300516-1.31395096602e-07j)
