(-1.51288243815+3.33685413766e-09j)	(4.00400376784+8.83133852598e-09j)
(-2.78397977104+2.04313457642e-08j)	(-1.08248408204-7.94424126343e-09j)
(-3.5328267843-5.36828563932e-08j)	(-1.35131668994+2.05338511768e-08j)
(-4.56526247983-3.31021187758e-09j)	(-0.488477493527+3.54188576337e-10j)
(-1.76243681164+2.30543304951e-08j)	(2.23661846586+2.92570725489e-08j)
(-5.66575748292-2.47639423874e-09j)	(-2.34646183725+1.02559367102e-09j)
(2.69119375622+3.19351657951e-09j)	(4.4149853688-5.23906153542e-09j)
(3.07706568532+5.86603394516e-08j)	(4.35805074449-8.30806884398e-08j)
(1.97068193356-1.01734813986e-08j)	(3.71752684458+1.91914228431e-08j)
(2.29929235914-1.07113592928e-07j)	(3.33518856951+1.55371294973e-07j)
(-7.46274149644-9.43566334924e-08j)	(-3.82156008273+4.83186436745e-08j)
(-0.904079677529-5.86149621029e-09j)	(5.94227066306-3.85260252308e-08j)
(-3.50531366816-3.98768118734e-08j)	(1.88660038225-2.14621617309e-08j)
(2.76406233776+3.17749302527e-08j)	(7.06942115257-8.12681971268e-08j)
(2.64813247037+1.15212044494e-08j)	(4.95166670661-2.15431676246e-08j)
(-2.37995481944+2.04499050774e-09j)	(1.58830615751+1.36476165103e-09j)
